TemplateID,GreenRatio,BlueRatio,GreenRank,BlueRank
783,0.128,0.0276,752,814
114,0.128,0.0327,753,390
128,0.128,0.0318,754,473
636,0.128,0.035,755,225
253,0.128,0.0286,756,747
173,0.128,0.0362,757,161
540,0.128,0.0285,758,755
191,0.128,0.0331,759,353
481,0.128,0.0362,760,163
903,0.128,0.0289,761,727
677,0.1279,0.0352,762,210
887,0.1279,0.0423,763,26
18,0.1279,0.0311,764,564
296,0.1279,0.0275,765,821
157,0.1279,0.028,766,787
924,0.1279,0.0377,767,90
575,0.1279,0.0332,768,339
382,0.1278,0.0308,769,593
937,0.1278,0.0444,770,15
150,0.1278,0.0337,771,302
249,0.1278,0.037,772,128
282,0.1278,0.0375,773,100
536,0.1277,0.0387,774,47
658,0.1277,0.0304,775,635
520,0.1277,0.0335,776,321
181,0.1277,0.0371,777,123
627,0.1277,0.027,778,856
468,0.1277,0.0331,779,355
526,0.1277,0.0252,780,915
738,0.1277,0.0293,781,707
906,0.1277,0.0342,782,272
103,0.1277,0.0314,783,524
661,0.1277,0.0313,784,538
81,0.1277,0.0335,785,320
111,0.1276,0.0332,786,343
136,0.1276,0.0369,787,132
991,0.1276,0.0283,788,776
442,0.1276,0.0311,789,563
168,0.1276,0.0344,790,261
956,0.1276,0.0324,791,422
275,0.1276,0.0308,792,594
724,0.1275,0.0347,793,240
346,0.1275,0.0271,794,845
686,0.1275,0.0336,795,305
608,0.1275,0.0324,796,419
418,0.1275,0.0315,797,515
422,0.1275,0.0343,798,264
772,0.1275,0.0263,799,886
568,0.1275,0.0363,800,159
917,0.1275,0.0329,801,366
417,0.1275,0.0308,802,597
429,0.1275,0.0318,803,479
255,0.1274,0.0275,804,823
462,0.1274,0.0328,805,380
358,0.1274,0.0327,806,394
289,0.1274,0.0309,807,587
93,0.1274,0.0335,808,319
465,0.1274,0.0374,809,106
740,0.1274,0.0332,810,340
308,0.1274,0.0328,811,374
665,0.1274,0.0383,812,58
82,0.1274,0.0316,813,499
376,0.1274,0.0328,814,383
517,0.1274,0.0324,815,423
654,0.1274,0.0274,816,829
375,0.1274,0.037,817,131
137,0.1273,0.0328,818,379
900,0.1273,0.0361,819,164
848,0.1273,0.0358,820,181
975,0.1273,0.0408,821,33
379,0.1273,0.0284,822,766
891,0.1273,0.0327,823,399
278,0.1273,0.0352,824,212
84,0.1273,0.0353,825,200
257,0.1272,0.0314,826,525
494,0.1272,0.0332,827,335
838,0.1272,0.0328,828,382
271,0.1272,0.0276,829,815
558,0.1272,0.0263,830,887
664,0.1272,0.0342,831,276
145,0.1272,0.0381,832,69
390,0.1272,0.0316,833,494
161,0.1272,0.0326,834,410
223,0.1272,0.0372,835,121
326,0.1272,0.0336,836,307
690,0.1272,0.0355,837,193
460,0.1271,0.0283,838,772
943,0.1271,0.0381,839,70
872,0.1271,0.0347,840,238
599,0.1271,0.0354,841,197
888,0.1271,0.0315,842,520
155,0.1271,0.031,843,570
849,0.1271,0.0347,844,241
11,0.1271,0.0371,845,125
726,0.1271,0.0349,846,229
890,0.1271,0.0306,847,617
236,0.1271,0.0345,848,257
391,0.1271,0.0275,849,824
380,0.1271,0.0353,850,201
799,0.127,0.0289,851,726
500,0.127,0.0314,852,527
198,0.127,0.031,853,571
527,0.127,0.036,854,168
52,0.127,0.0311,855,567
840,0.127,0.0379,856,83
778,0.127,0.0278,857,807
263,0.127,0.0304,858,631
205,0.1269,0.0335,859,323
83,0.1269,0.026,860,893
896,0.1269,0.0261,861,889
260,0.1268,0.032,862,460
749,0.1268,0.0322,863,439
401,0.1268,0.0383,864,57
521,0.1268,0.0363,865,155
141,0.1268,0.0381,866,71
713,0.1268,0.0271,867,843
961,0.1268,0.0327,868,398
440,0.1268,0.0319,869,462
127,0.1267,0.0301,870,658
651,0.1267,0.0364,871,151
70,0.1267,0.0271,872,853
789,0.1267,0.0352,873,207
793,0.1267,0.0384,874,56
910,0.1267,0.0363,875,158
